,hpi_type,hpi_flavor,frequency,level,place_name,place_id,yr,period,index_nsa,index_sa
0,traditional,monthly,USA or Census Division,East North Central Division,DV_ENC,2022,purchase-only,1,295.78,299.33
1,traditional,monthly,USA or Census Division,East North Central Division,DV_ENC,2022,purchase-only,2,301.74,303.24
2,traditional,monthly,USA or Census Division,East South Central Division,DV_ESC,2022,purchase-only,1,347.85,348.1
3,traditional,monthly,USA or Census Division,East South Central Division,DV_ESC,2022,purchase-only,2,353.88,353.26
4,traditional,monthly,USA or Census Division,Middle Atlantic Division,DV_MA,2022,purchase-only,1,319.52,319.19
5,traditional,monthly,USA or Census Division,Middle Atlantic Division,DV_MA,2022,purchase-only,2,325.33,326.94
6,traditional,monthly,USA or Census Division,Mountain Division,DV_MT,2022,purchase-only,1,549.21,553.18
7,traditional,monthly,USA or Census Division,Mountain Division,DV_MT,2022,purchase-only,2,566.26,566.72
8,traditional,monthly,USA or Census Division,New England Division,DV_NE,2022,purchase-only,1,349.35,350.29
9,traditional,monthly,USA or Census Division,New England Division,DV_NE,2022,purchase-only,2,356.19,357.92
10,traditional,monthly,USA or Census Division,Pacific Division,DV_PAC,2022,purchase-only,1,442.08,444.99
11,traditional,monthly,USA or Census Division,Pacific Division,DV_PAC,2022,purchase-only,2,452.7,452.45
12,traditional,monthly,USA or Census Division,South Atlantic Division,DV_SA,2022,purchase-only,1,391.01,391.02
13,traditional,monthly,USA or Census Division,South Atlantic Division,DV_SA,2022,purchase-only,2,403.91,402.27
14,traditional,monthly,USA or Census Division,West North Central Division,DV_WNC,2022,purchase-only,1,349.0,352.68
15,traditional,monthly,USA or Census Division,West North Central Division,DV_WNC,2022,purchase-only,2,358.76,360.1
16,traditional,monthly,USA or Census Division,West South Central Division,DV_WSC,2022,purchase-only,1,379.58,380.51
17,traditional,monthly,USA or Census Division,West South Central Division,DV_WSC,2022,purchase-only,2,388.19,388.28
18,traditional,monthly,USA or Census Division,United States,USA,2022,purchase-only,1,372.21,373.65
19,traditional,monthly,USA or Census Division,United States,USA,2022,purchase-only,2,381.38,381.43
