"hpi_type","hpi_flavor","frequency","level","place_name","place_id","yr","period","index_nsa","index_sa"
"traditional","monthly","USA or Census Division","East North Central Division","DV_ENC","2022","purchase-only",1,295.78,299.33
"traditional","monthly","USA or Census Division","East North Central Division","DV_ENC","2022","purchase-only",2,301.74,303.24
"traditional","monthly","USA or Census Division","East South Central Division","DV_ESC","2022","purchase-only",1,347.85,348.1
"traditional","monthly","USA or Census Division","East South Central Division","DV_ESC","2022","purchase-only",2,353.88,353.26
"traditional","monthly","USA or Census Division","Middle Atlantic Division","DV_MA","2022","purchase-only",1,319.52,319.19
"traditional","monthly","USA or Census Division","Middle Atlantic Division","DV_MA","2022","purchase-only",2,325.33,326.94
"traditional","monthly","USA or Census Division","Mountain Division","DV_MT","2022","purchase-only",1,549.21,553.18
"traditional","monthly","USA or Census Division","Mountain Division","DV_MT","2022","purchase-only",2,566.26,566.72
"traditional","monthly","USA or Census Division","New England Division","DV_NE","2022","purchase-only",1,349.35,350.29
"traditional","monthly","USA or Census Division","New England Division","DV_NE","2022","purchase-only",2,356.19,357.92
"traditional","monthly","USA or Census Division","Pacific Division","DV_PAC","2022","purchase-only",1,442.08,444.99
"traditional","monthly","USA or Census Division","Pacific Division","DV_PAC","2022","purchase-only",2,452.7,452.45
"traditional","monthly","USA or Census Division","South Atlantic Division","DV_SA","2022","purchase-only",1,391.01,391.02
"traditional","monthly","USA or Census Division","South Atlantic Division","DV_SA","2022","purchase-only",2,403.91,402.27
"traditional","monthly","USA or Census Division","West North Central Division","DV_WNC","2022","purchase-only",1,349,352.68
"traditional","monthly","USA or Census Division","West North Central Division","DV_WNC","2022","purchase-only",2,358.76,360.1
"traditional","monthly","USA or Census Division","West South Central Division","DV_WSC","2022","purchase-only",1,379.58,380.51
"traditional","monthly","USA or Census Division","West South Central Division","DV_WSC","2022","purchase-only",2,388.19,388.28
"traditional","monthly","USA or Census Division","United States","USA","2022","purchase-only",1,372.21,373.65
"traditional","monthly","USA or Census Division","United States","USA","2022","purchase-only",2,381.38,381.43
